split,Accuracy,Precision,Recall,Specificity,F1,AP,ROC AUC
Train,0.8030885938769982,0.30722128378378377,0.8047566371681416,0.8029074307678242,0.44468215158924207,0.5783779335435503,0.8897034784231234
Val,0.6718704827984967,0.1597573306370071,0.341991341991342,0.7227227227203112,0.21778084079944865,0.15532434743365903,0.5609837832060054
Test,0.8117953165654813,0.055865921787709494,0.1724137931034483,0.8456621004488981,0.08438818565400844,0.06663931372781019,0.6112580695953393
Null Train,0.7318883771335681,0.09093277748827515,0.19303097345132744,0.7904126869701505,0.12362734679419057,0.09442659693010926,0.4903310629994721
Null Val,0.6871928302977739,0.12009803921568628,0.21212121212121213,0.7604270937578899,0.15336463223787167,0.12969994037000865,0.5002267780045558
Null Test,0.7970511708586296,0.041666666666666664,0.13793103448275862,0.831963470312037,0.064,0.06239261091829369,0.5001102188631712
