split,Accuracy,Precision,Recall,Specificity,F1,AP,ROC AUC
Train,0.8108913573557301,0.11447811447811448,0.8615984405458089,0.8094415338307828,0.20210333790580703,0.34845882992485566,0.919518448333519
Val,0.7892454466608847,0.02158273381294964,0.234375,0.7997054491876298,0.039525691699604744,0.022537672469878943,0.5720636966126657
Test,0.849956634865568,0.006134969325153374,0.08333333333333333,0.858019281324645,0.011428571428571429,0.01196278400036237,0.5528045574057844
Null Train,0.8336494175020319,0.026656793780081452,0.14035087719298245,0.8534722996316723,0.044803982576229,0.03026466708887118,0.5086511160175423
Null Val,0.8363688927435675,0.03690036900369004,0.3125,0.8462444771698197,0.066006600660066,0.055274181184331805,0.606931148748159
Null Test,0.8551604509973981,0.006369426751592357,0.08333333333333333,0.8632778264604446,0.011834319526627219,0.011190242242436758,0.48020742039146946
