split,Accuracy,Precision,Recall,Specificity,F1,AP,ROC AUC
Train,0.8560823625033867,0.38542825361512795,0.7565502183406113,0.8670516753889989,0.5106853352984525,0.631137359067304,0.8989862391430614
Val,0.7895345475570974,0.08914728682170543,0.1513157894736842,0.8510301109323264,0.11219512195121951,0.09973757287761578,0.546143339728084
Test,0.7701647875108413,0.0761904761904762,0.1839080459770115,0.8180112570279737,0.10774410774410774,0.0905977538550854,0.5362403226154278
Null Train,0.7761582227038742,0.09367267585719335,0.14465065502183405,0.8457558804061567,0.11370950439819781,0.09939574575170171,0.4986598840928298
Null Val,0.7825961260479908,0.09272727272727273,0.16776315789473684,0.8418383518198357,0.11943793911007025,0.10278923453011715,0.5106701976812078
Null Test,0.8169991326973114,0.06338028169014084,0.10344827586206896,0.8752345215677746,0.07860262008733625,0.0751425789987703,0.4964848720105238
