split,Accuracy,Precision,Recall,Specificity,F1,AP,ROC AUC
Train,0.7875914386345164,0.276404942208051,0.8275656324582339,0.7835985458008322,0.4144009560800717,0.5310279321687659,0.8908608662578421
Val,0.7279560566637756,0.1301775147928994,0.34810126582278483,0.766146993316048,0.18949181739879414,0.12425848884832316,0.6181437955351856
Test,0.797918473547268,0.13043478260869565,0.3375,0.8322460391348347,0.18815331010452963,0.13242177257582072,0.6537511649580614
Null Train,0.7511243565429423,0.09019387468389997,0.191527446300716,0.8070206806121896,0.12263610315186246,0.09081313931203802,0.4953588173704458
Null Val,0.7612026597282452,0.09003215434083602,0.17721518987341772,0.8199172764848237,0.11940298507462686,0.09611617603992237,0.4985924115071869
Null Test,0.823937554206418,0.051094890510948905,0.0875,0.8788443615947918,0.06451612903225806,0.07050118566311336,0.49199673811742783
