split,Accuracy,Precision,Recall,Specificity,F1,AP,ROC AUC
Train,0.7798970468707668,0.43966125617501767,0.7377146240378922,0.7893480135300196,0.550961751050188,0.5926974807733149,0.8535907425757174
Val,0.6371783752529633,0.24222431668237512,0.3629943502824859,0.7077426390377763,0.29055963821368,0.2399549605366666,0.5764727053541907
Test,0.7658282740676496,0.20465116279069767,0.3076923076923077,0.830693069298706,0.24581005586592178,0.18549806980655043,0.6502942601952504
Null Train,0.6275806014630182,0.1804717498628634,0.2921847246891652,0.7027260064995007,0.22312648355374703,0.18090879782431585,0.4983884482785093
Null Val,0.6227233304423244,0.19571865443425077,0.2711864406779661,0.7131952017422276,0.22735346358792186,0.2021035955596814,0.5002307840805706
Null Test,0.7207285342584562,0.11587982832618025,0.1888111888111888,0.7960396039525145,0.14361702127659576,0.12294131856789192,0.4893720141244894
