split,Accuracy,Precision,Recall,Specificity,F1,AP,ROC AUC
Train,0.7939853698184773,0.2943514644351464,0.7663398692810458,0.797039533064085,0.42533252720677145,0.5093580067902894,0.8690698043463129
Val,0.7409655969933506,0.12981455064194009,0.2413793103448276,0.8020765736508694,0.16883116883116883,0.13118926176475573,0.5853212888389331
Test,0.8222029488291414,0.08791208791208792,0.2909090909090909,0.8488160291361675,0.1350210970464135,0.07957606965011903,0.697665176353701
Null Train,0.7276076943917638,0.10301069917890023,0.22549019607843138,0.7830796076774877,0.14141759180187874,0.10059954036750447,0.5054368729861521
Null Val,0.6802544087886673,0.12768130745658834,0.33156498673740054,0.7229072031125149,0.18436578171091444,0.11788725827822963,0.5235921075053748
Null Test,0.777103209019948,0.05309734513274336,0.21818181818181817,0.8051001821420302,0.08540925266903915,0.0561399490328447,0.5440304686206326
