run,split,Accuracy,Precision,Recall,Specificity,F1,AP,ROC AUC
hs128_lb1_V8212_ep15_lr0.001,Val,0.7794160161896502,0.0765765765765765,0.2562814070351759,0.8113496932490449,0.1179190751445086,0.0794185199130615,0.5865539353207757
hs128_lb1_V8212_ep15_lr0.001,Test,0.8568950563746748,0.072992700729927,0.2083333333333333,0.8850678732951578,0.1081081081081081,0.0595999451276095,0.6349358974358974
hs128_lb1_V8212_ep15_lr0.001,Null Train,0.8062855594689786,0.0597749648382559,0.1587301587301587,0.846180395765735,0.0868454661558109,0.0573993801831534,0.4937135653463717
hs128_lb1_V8212_ep15_lr0.001,Null Val,0.8248048568950563,0.0585683297180043,0.135678391959799,0.8668711656415127,0.0818181818181818,0.0620753137706991,0.5306301445879705
hs128_lb1_V8212_ep15_lr0.001,Null Test,0.8629661751951431,0.0491803278688524,0.125,0.8950226244262894,0.0705882352941176,0.0461942445172676,0.4856523378582202
hs128_lb1_V8213_ep15_lr0.001,Train,0.868165808723923,0.4098360655737705,0.6810897435897436,0.8892842067171867,0.5117399157134257,0.5959725263067022,0.8845093233416366
hs128_lb1_V8213_ep15_lr0.001,Val,0.7964729690662041,0.1306306306306306,0.1542553191489361,0.8747972753782848,0.1414634146341463,0.1272014829062016,0.5645811623108191
hs128_lb1_V8213_ep15_lr0.001,Test,0.8473547267996531,0.1652892561983471,0.2105263157894736,0.9045368619952312,0.1851851851851851,0.1340238079353804,0.6495373594667196
hs128_lb1_V8213_ep15_lr0.001,Null Train,0.7729070712544026,0.1016832703538303,0.1581196581196581,0.8423083881077957,0.1237716914070666,0.1014927563760621,0.5028260618303886
hs128_lb1_V8213_ep15_lr0.001,Null Val,0.7773923099161607,0.1167315175097276,0.1595744680851064,0.8527408368444608,0.1348314606741573,0.109866487865441,0.5055089336857579
hs128_lb1_V8213_ep15_lr0.001,Null Test,0.818733738074588,0.1041666666666666,0.1578947368421052,0.8780718336400939,0.1255230125523012,0.1165063497624899,0.5517361456571486
hs128_lb1_V8214_ep15_lr0.001,Train,0.7321593064210241,0.3136788714534791,0.7635030864197531,0.7270377608266235,0.4446691382990675,0.4641302979330167,0.8242246934204372
hs128_lb1_V8214_ep15_lr0.001,Val,0.6241688349233883,0.1669316375198728,0.4545454545454545,0.6503169836481472,0.2441860465116279,0.1641198649959404,0.5827443605221383
hs128_lb1_V8214_ep15_lr0.001,Test,0.7727666955767563,0.1912350597609561,0.4485981308411215,0.8059273422485094,0.2681564245810056,0.1725517499551404,0.6898018262718678
hs128_lb1_V8214_ep15_lr0.001,Null Train,0.6289894337577893,0.1468879668049792,0.3414351851851852,0.675975540565671,0.2054079145874434,0.1437536176840462,0.5024298162001334
hs128_lb1_V8214_ep15_lr0.001,Null Val,0.5958369470945359,0.1383307573415765,0.3874458874458874,0.627961294625866,0.2038724373576309,0.1417042318376292,0.5086616197727309
hs128_lb1_V8214_ep15_lr0.001,Null Test,0.614050303555941,0.0956937799043062,0.3738317757009345,0.6386233269537417,0.1523809523809524,0.1251125038241145,0.5067993781383463
hs128_lb1_V8215_ep15_lr0.001,Train,0.7625575724735844,0.3232462173314993,0.8082545141874462,0.7559675119345551,0.4618029968066814,0.549076940019379,0.8694758249361727
hs128_lb1_V8215_ep15_lr0.001,Val,0.6822781150621567,0.0925024342745861,0.3625954198473282,0.7084766969011308,0.1474010861132661,0.0910023760920071,0.5562705494416282
