split,Accuracy,Precision,Recall,Specificity,F1,AP,ROC AUC
Train,0.7920888648062856,0.28600612870275793,0.8036739380022963,0.7908813498469509,0.42187735422630707,0.54080464738347,0.884083081410258
Val,0.7259323503902863,0.12289780077619664,0.2602739726027397,0.7808661926283748,0.16695957820738136,0.13127011213916426,0.5853211252888931
Test,0.7684301821335646,0.1115702479338843,0.34177215189873417,0.7998137802532607,0.16822429906542055,0.0984878106338705,0.6031869504749783
Null Train,0.7305337306962882,0.09561952440550689,0.21928817451205512,0.7838209776815749,0.1331706466794492,0.09679027082744546,0.5052641601239484
Null Val,0.719572130673605,0.11267605633802817,0.2410958904109589,0.7760180995450032,0.15357766143106458,0.11783664340262118,0.5349182244025112
Null Test,0.8013876843018214,0.07386363636363637,0.16455696202531644,0.8482309124688248,0.10196078431372549,0.08023352528327286,0.5282629705584235
