split,Accuracy,Precision,Recall,Specificity,F1,AP,ROC AUC
Train,0.820590625846654,0.35984848484848486,0.786653677545056,0.8248384343367731,0.49380828619477146,0.623069490765923,0.8934457608647038
Val,0.7681410812373518,0.14123376623376624,0.24166666666666667,0.8292997741180081,0.17827868852459017,0.1287175330708511,0.5689783442687605
Test,0.7623590633130962,0.08695652173913043,0.17475728155339806,0.8199999999921905,0.11612903225806452,0.10533240843929804,0.5977068885806751
Null Train,0.7463560010837171,0.11055127445168939,0.18168533852898197,0.8170345079863327,0.13746084392850563,0.11071993666167398,0.4974316154166746
Null Val,0.7872217403873952,0.10833333333333334,0.14444444444444443,0.8618909325561088,0.12380952380952381,0.10935250827713235,0.5222114660643218
Null Test,0.790112749349523,0.0935672514619883,0.1553398058252427,0.8523809523728345,0.11678832116788321,0.0929974416929576,0.5112436430883033
