split,Accuracy,Precision,Recall,Specificity,F1,AP,ROC AUC
Train,0.7620157138986724,0.3321629213483146,0.7629032258064516,0.7618779342718235,0.4628180039138943,0.527618785369165,0.8518756120955122
Val,0.6710031801098584,0.20802919708029197,0.4578313253012048,0.7068557919597878,0.2860727728983689,0.19471473702332304,0.6361847253926208
Test,0.7545533391153513,0.14682539682539683,0.3523809523809524,0.7948473282366905,0.20728291316526612,0.12845866305818648,0.6203289712831698
Null Train,0.6708751015984828,0.12902559867877786,0.25201612903225806,0.7358998435050166,0.17067176406335335,0.13379202935617168,0.49725884698874245
Null Val,0.6406475860075166,0.15604801477377656,0.3393574297188755,0.6913204998288034,0.2137887413029728,0.1579991578820193,0.5195032070192285
Null Test,0.6973113616652211,0.06428571428571428,0.17142857142857143,0.7499999999928436,0.09350649350649351,0.08229059280151389,0.4664576517629953
