split,Accuracy,Precision,Recall,Specificity,F1,AP,ROC AUC
Train,0.8176645895421295,0.37980241492864986,0.762114537444934,0.8254556688286527,0.5069597069597069,0.6078792396041428,0.8858104733403284
Val,0.739230991616074,0.15895953757225434,0.2558139534883721,0.8078573786701623,0.19607843137254902,0.15748047740502602,0.6062577257057744
Test,0.7961838681699913,0.07222222222222222,0.16049382716049382,0.8442164179025727,0.09961685823754789,0.08929709569358793,0.6087502303298322
Null Train,0.710430777567055,0.11936602278355622,0.21233480176211453,0.7802903923381029,0.15282181357006974,0.12095866015370861,0.4952812946125403
Null Val,0.6712922810060711,0.12906610703043023,0.28604651162790695,0.7259821723317069,0.17787418655097614,0.12921154821593273,0.5224888097230647
Null Test,0.738074588031223,0.07003891050583658,0.2222222222222222,0.7770522387987217,0.10650887573964497,0.07945250420412603,0.5516169154228856
