split,Accuracy,Precision,Recall,Specificity,F1,AP,ROC AUC
Train,0.8558656190734218,0.33784562211981567,0.7646675358539765,0.8641333254530676,0.46863763483819415,0.5890828110585157,0.9020839961329614
Val,0.7791269152934374,0.09949409780775717,0.2041522491349481,0.831545741322298,0.13378684807256236,0.09970409783177903,0.578778121009027
Test,0.808326105810928,0.08947368421052632,0.26153846153846155,0.8409926470510939,0.13333333333333333,0.0906288127664697,0.5869768099547512
Null Train,0.7961528041181252,0.081203007518797,0.1408083441981747,0.8555640919562345,0.10300429184549356,0.08341864727132516,0.5017725018178271
Null Val,0.778259612604799,0.07473309608540925,0.1453287197231834,0.835962145107773,0.09870740305522914,0.08586487896901464,0.4888831279403578
Null Test,0.839549002601908,0.058823529411764705,0.12307692307692308,0.8823529411683608,0.07960199004975124,0.058041420930454495,0.4756363122171946
