split,Accuracy,Precision,Recall,Specificity,F1,AP,ROC AUC
Train,0.8136548360877811,0.21359458151910982,0.8244631185807656,0.812988955360784,0.3392891450528338,0.4791576906344193,0.9086607107945188
Val,0.7794160161896502,0.07657657657657657,0.2562814070351759,0.8113496932490449,0.11791907514450867,0.07941851991306152,0.5865539353207757
Test,0.8568950563746748,0.072992700729927,0.20833333333333334,0.8850678732951578,0.10810810810810811,0.05959994512760956,0.6349358974358974
Null Train,0.8062855594689786,0.05977496483825598,0.15873015873015872,0.846180395765735,0.08684546615581099,0.05739938018315348,0.49371356534637173
Null Val,0.8248048568950563,0.05856832971800434,0.135678391959799,0.8668711656415127,0.08181818181818182,0.062075313770699164,0.5306301445879705
Null Test,0.8629661751951431,0.04918032786885246,0.125,0.8950226244262894,0.07058823529411765,0.04619424451726761,0.4856523378582202
