split,Accuracy,Precision,Recall,Specificity,F1,AP,ROC AUC
Train,0.868165808723923,0.4098360655737705,0.6810897435897436,0.8892842067171867,0.5117399157134257,0.5959725263067022,0.8845093233416366
Val,0.7964729690662041,0.13063063063063063,0.15425531914893617,0.8747972753782848,0.14146341463414633,0.12720148290620165,0.5645811623108191
Test,0.8473547267996531,0.1652892561983471,0.21052631578947367,0.9045368619952313,0.18518518518518517,0.13402380793538043,0.6495373594667196
Null Train,0.7729070712544026,0.1016832703538303,0.1581196581196581,0.8423083881077957,0.12377169140706669,0.10149275637606217,0.5028260618303886
Null Val,0.7773923099161607,0.11673151750972763,0.1595744680851064,0.8527408368444608,0.1348314606741573,0.10986648786544104,0.5055089336857579
Null Test,0.818733738074588,0.10416666666666667,0.15789473684210525,0.8780718336400939,0.12552301255230125,0.11650634976248996,0.5517361456571486
