split,Accuracy,Precision,Recall,Specificity,F1,AP,ROC AUC
Train,0.7625575724735844,0.32324621733149933,0.8082545141874462,0.7559675119345551,0.4618029968066814,0.549076940019379,0.8694758249361727
Val,0.6822781150621567,0.09250243427458617,0.36259541984732824,0.7084766969011308,0.1474010861132661,0.09100237609200712,0.5562705494416282
Test,0.7398091934084996,0.09608540925266904,0.3698630136986301,0.7648148148077333,0.15254237288135594,0.0843191250825395,0.6037163876204972
Null Train,0.656190734218369,0.12683379758588673,0.2936371453138435,0.7084754169503946,0.17714952665023992,0.12740899448956808,0.5007865566032077
Null Val,0.6305290546400694,0.073109243697479,0.3320610687022901,0.6549890522344229,0.11983471074380166,0.08059482163528477,0.5094076746568229
Null Test,0.6539462272333044,0.07552083333333333,0.3972602739726027,0.6712962962900807,0.12691466083150985,0.06524510022810252,0.49675291730086246
