split,Accuracy,Precision,Recall,Specificity,F1,AP,ROC AUC
Train,0.7922514223787591,0.2642842302098483,0.8127795527156549,0.7903493191232739,0.3988711194731891,0.5033984650393015,0.8859399572879958
Val,0.7155247181266262,0.07333333333333333,0.3055555555555556,0.7428307123011322,0.11827956989247312,0.07446292750885859,0.5875618140496339
Test,0.7649609713790113,0.07083333333333333,0.26153846153846155,0.7950367646985751,0.11147540983606558,0.0741044398232488,0.5951216063348416
Null Train,0.7314548902736385,0.08514803034010276,0.22236421725239616,0.7786264061570286,0.12314225053078556,0.0866264074288465,0.5009868591544233
Null Val,0.7817288233593525,0.05747126436781609,0.16203703703703703,0.823003391918523,0.08484848484848485,0.06618273628269936,0.5276792750197005
Null Test,0.8143972246313964,0.048484848484848485,0.12307692307692308,0.8556985294038999,0.06956521739130435,0.0722190770221682,0.5297369909502263
