split,Accuracy,Precision,Recall,Specificity,F1,AP,ROC AUC
Train,0.7321593064210241,0.31367887145347917,0.7635030864197531,0.7270377608266235,0.4446691382990675,0.46413029793301674,0.8242246934204372
Val,0.6241688349233883,0.1669316375198728,0.45454545454545453,0.6503169836481472,0.2441860465116279,0.16411986499594045,0.5827443605221383
Test,0.7727666955767563,0.19123505976095617,0.4485981308411215,0.8059273422485094,0.2681564245810056,0.17255174995514042,0.6898018262718678
Null Train,0.6289894337577893,0.14688796680497926,0.3414351851851852,0.675975540565671,0.20540791458744342,0.1437536176840462,0.5024298162001334
Null Val,0.5958369470945359,0.13833075734157652,0.3874458874458874,0.627961294625866,0.20387243735763097,0.14170423183762923,0.5086616197727309
Null Test,0.614050303555941,0.09569377990430622,0.37383177570093457,0.6386233269537417,0.1523809523809524,0.12511250382411454,0.5067993781383463
